Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
13.4624,0.4657,526,0.0000,1.7800,-4.3184,34.6240,0.4964,2.2437333333333336
33.85,-1.17,113296,5.58,3.14,-10.21,72.88,-0.06,1.0578125
11.69,-0.60,1930886,-1.58,3.61,-12.76,367.60,4.48,0.9351999999999999
16.88,-1.17,81018,0.00,2.80,-6.22,57.90,0.80,1.1253333333333333
1.1999,0.8319,6892,0.0000,2.2200,-50.0021,23.7010,0.1143,0.04331768953068592
20.35,-0.97,66847,4.87,1.96,-11.37,107.02,3.60,0.8479166666666668
82.75,-0.72,843630,2.26,3.84,-9.17,72.86,-0.61,0.9060549655096901
37.20,1.14,6945,2.30,4.14,-5.10,45.94,2.99,0.9417721518987342
20.25,-1.32,1715382,10.22,4.42,-15.09,25.85,3.45,0.9675107501194458
5.775,-0.087,31718,0.000,29.240,-26.620,62.676,3.571,1.44375
18.41,-2.23,19699,-3.56,11.25,-15.36,116.59,0.13,0.9205
31.23,-1.36,113946,2.40,18.67,-8.31,47.94,2.70,0.8735664335664336
7.71,-8.97,203889,0.00,5.09,-69.26,36.46,-1.49,0.3280851063829787
7.60,-0.39,85895,0.00,4.88,-39.20,35.96,0.30,0.36538461538461536
359.34,-1.56,28106,0.00,4.71,-6.45,56.57,-1.05,1.7967
10.95,-1.35,317367,0.64,4.07,-16.73,68.98,-8.02,0.7403651115618661
1.63,-5.73,7011,0.00,0.70,-49.85,35.83,12.94,0.815
16.45,-0.15,141127,3.52,5.86,-13.42,33.31,-3.30,0.9226023555804824
0.571,-4.928,212130,0.060,1.770,-88.104,1.457,-41.347,0.19033333333333333
34.40,-0.03,215060,0.72,9.76,-13.98,64.83,-3.99,0.8877419354838709
4.92,0.20,41678,-2.02,0.68,-12.31,123.64,-0.72,0.6212121212121212
7.00,0.72,60851,-3.38,9.89,-13.04,37.25,0.32,1.4
18.30,-0.81,57772,0.00,7.42,-7.22,36.98,-1.39,0.915
28.84,-1.10,203620,18.04,2.02,-5.35,68.95,0.80,0.944954128440367
22.15,-1.56,1845196,-0.21,7.97,-3.90,180.38,17.47,1.429032258064516
19.04,1.12,3252871,0.53,7.14,-38.95,8.80,-4.37,0.8043937473595267
2.12,-2.75,42798,0.00,4.62,-65.07,5.89,-4.24,0.3028571428571429
1.40,0.00,18103,-0.05,1.14,-86.87,7.69,-16.97,0.13320647002854424
5.02,-2.33,582763,-0.20,7.23,-53.30,33.51,1.40,0.6765498652291104
194.40,0.24,351793,2.41,2.89,-2.23,134.50,8.07,0.9940683166291675
20.19,-1.03,35290,0.00,5.61,-16.29,67.54,8.62,0.791764705882353
47.98,-1.28,244641,1.39,2.33,-6.38,261.02,5.84,0.9576846307385228
9.31,0.76,47782,1.32,3.01,-18.48,19.82,-0.52,0.9800000000000001
23.56,-0.93,228662,2.33,17.50,-4.34,54.49,2.18,1.062697338746053
17.87,0.06,123741,37.08,7.13,-21.14,26.33,-0.36,0.8759803921568629
86.72,-0.08,2106979,1.56,4.15,-4.78,42.47,0.65,0.9302724737180863
4.025,-7.863,7863,0.000,0.450,-89.301,21.970,-12.514,0.4025
