Closing Price,Percent Change,Volume,PEG Ratio,Short Ratio,Pct Change From Year High,Pct Change From Year Low,Pct Change from 50 day mAvg,Ratio of price to 1 yr target price
12.43,-4.60%,60603738,-2.02,1.58,-20.06%,+478.14%,+0.35%,1.0542832909245123
12.6605,-2.8358%,41738699,-2.0200,1.5800,-18.5820%,+488.8605%,+2.2096%,1.0738337574215437
